Scenario Number,Scenario Name,Planning Area,Sector,End Use,Units,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1,High-Low,LADWP,Commercial,HVAC - General,MM Therms,0,0.046327893,0.093177812,0.139117345,0.183329671,0.22589116,0.267160439,0.306649098,0.335548562,0.364867946,0.396358639,0.431834946
1,High-Low,LADWP,Commercial,HVAC - Heating,GWh,0,-0.05035137,-0.150211135,-0.302782237,-0.510978211,-0.774486621,-1.091953454,-1.464866591,-1.895865421,-2.386767107,-2.939451829,-3.547405023
1,High-Low,LADWP,Commercial,HVAC - Heating,MM Therms,0,0.008659628,0.025830107,0.052074725,0.087891424,0.133272484,0.187974366,0.252281273,0.326663627,0.411428239,0.506910667,0.612005077
1,High-Low,LADWP,Commercial,Lighting - General,GWh,0,104.4327652,157.095934,208.4527766,257.4563921,281.6517386,296.966632,302.7964245,291.6333149,270.6140799,241.6029349,220.4402056
1,High-Low,LADWP,Commercial,Lighting - General,MM Therms,0,0.038065729,0.072317308,0.103118167,0.130841838,0.155781939,0.178125436,0.198022327,0.215487195,0.230300531,0.241812991,0.248870385
1,High-Low,LADWP,Commercial,Lighting - Indoor Equipment,GWh,0,0.032947939,0.065883536,0.098727052,0.131224074,0.163562864,0.195498448,0.227212575,0.258355372,0.288564572,0.317015072,0.342377819
1,High-Low,LADWP,Commercial,Lighting - Indoor Equipment,MM Therms,0,0.000120234,0.000240441,0.000360577,0.000480725,0.000600882,0.000720741,0.000839974,0.00095786,0.001072923,0.001182277,0.001281243
1,High-Low,LADWP,Commercial,Lighting - Outdoor,GWh,0,0.032947939,0.065883536,0.098727052,0.131224074,0.163562864,0.195498448,0.227212575,0.258355372,0.288564572,0.317015072,0.342377819
1,High-Low,LADWP,Commercial,Lighting - Outdoor,MM Therms,0,0.000120234,0.000240441,0.000360577,0.000480725,0.000600882,0.000720741,0.000839974,0.00095786,0.001072923,0.001182277,0.001281243
1,High-Low,LADWP,Commercial,MachDr,GWh,0,3.208237234,6.341937543,10.03103886,14.48108929,19.64139976,25.29632309,31.12316121,36.93751755,42.66589677,48.27416077,53.98547094
1,High-Low,LADWP,Commercial,Miscellaneous,GWh,0,0.219349699,0.416740764,0.594590004,0.754565492,0.89791447,1.025001703,1.134825543,1.223807965,1.285502155,1.311282477,1.296358578
1,High-Low,LADWP,Commercial,Miscellaneous,MM Therms,0,0.002223869,0.004316655,0.006294569,0.008165933,0.009938139,0.0116082,0.013160928,0.014554363,0.015714672,0.016543131,0.016972623
1,High-Low,LADWP,Commercial,Office Equipment,GWh,0,0.298421046,0.552974198,0.767747825,0.935081458,1.044201203,1.088991606,1.075885601,1.022609671,0.948698703,0.867854622,0.787932844
1,High-Low,LADWP,Commercial,Office Equipment,MM Therms,0,0.035365724,0.070943274,0.107331513,0.1422113,0.176438262,0.210488953,0.218050334,0.225091595,0.231314642,0.238983122,0.24730353
1,High-Low,LADWP,Commercial,Refrigeration,GWh,0,22.79745141,34.99134754,46.61902174,58.12940881,69.67634694,81.33443101,92.94506304,104.4729896,115.6250958,126.5183835,137.7289906
