FCZ7.Residential.MULTIFAMILY.CoolingEff,FCZ7.Residential.MULTIFAMILY.Dryer,FCZ7.Residential.MULTIFAMILY.Heating,FCZ7.Residential.MULTIFAMILY.HeatPumpEff,FCZ7.Residential.MULTIFAMILY.Miscellaneous,FCZ7.Residential.MULTIFAMILY.Refrigerator,FCZ7.Residential.MULTIFAMILY.ResLightingEff,FCZ7.Residential.MULTIFAMILY.ResOccsensorEff,FCZ7.Residential.MULTIFAMILY.Washer,FCZ7.Residential.MULTIFAMILY.WaterHeating,FCZ7.Residential.SINGLEFAMILY.CoolingEff,FCZ7.Residential.SINGLEFAMILY.Dryer,FCZ7.Residential.SINGLEFAMILY.Heating,FCZ7.Residential.SINGLEFAMILY.HeatPumpEff,FCZ7.Residential.SINGLEFAMILY.Miscellaneous,FCZ7.Residential.SINGLEFAMILY.Refrigerator,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,FCZ7.Residential.SINGLEFAMILY.ResOccsensorEff,FCZ7.Residential.SINGLEFAMILY.Washer,FCZ7.Residential.SINGLEFAMILY.WaterHeating
0,0.6746809,0.041358697,0.155779664,0.734524539,0.596787549,0.486480134,0.2161498,0.437651634,1,0,0.6746809,0.014854173,0.075315945,0.734524539,0.596787549,0.486480134,0.2161498,0.437651634,1
0,0.602213204,0.049540363,0,0.755288698,0.611685958,0.505202252,0.219740729,0.504054979,1,0,0.602213204,0.019260674,0,0.755288698,0.611685958,0.505202252,0.219740729,0.504054979,1
0,0.597973402,0.112384565,0,0.786613415,0.624117705,0.541147939,0.224524037,0.488045392,1,0,0.597973402,0.10366294,0,0.786613415,0.624117705,0.541147939,0.224524037,0.488045392,1
0,0.595489893,0.203374449,0.008919672,0.823595574,0.626925994,0.61366508,0.232034096,0.416168558,1,0,0.595489893,0.215273217,0.007316016,0.823595574,0.626925994,0.61366508,0.232034096,0.416168558,1
0,0.577515325,0.274176635,0.015687296,0.854287196,0.618808011,0.731355729,0.229499486,0.389828311,1,0,0.577515325,0.299834685,0.013351729,0.854287196,0.618808011,0.731355729,0.229499486,0.389828311,1
0,0.542149333,0.28414851,0.02364421,0.868329775,0.604147004,0.882117728,0.212997396,0.345402074,1,0,0.542149333,0.299905758,0.019570343,0.868329775,0.604147004,0.882117728,0.212997396,0.345402074,1
0,0.522181783,0.26409292,0.026702383,0.859937903,0.591564709,0.979858678,0.261938274,0.27605899,1,0,0.522181783,0.264975707,0.021094513,0.859937903,0.591564709,0.979858678,0.261938274,0.27605899,1
0,0.489086624,0.247707069,0.031747519,0.827549048,0.57323845,0.958670918,0.604794708,0.157014283,1,0,0.489086624,0.235279443,0.023777052,0.827549048,0.57323845,0.958670918,0.604794708,0.157014283,1
0,0.409137529,0.24435709,0.036824087,0.778133987,0.554130501,0.802024013,0.917590676,0.103942477,1,0,0.409137529,0.219451575,0.026154757,0.778133987,0.554130501,0.802024013,0.917590676,0.103942477,1
0,0.279566278,0.229449194,0.035680104,0.719235976,0.525179065,0.595020809,1,0.062120916,1,0,0.279566278,0.193212993,0.024081886,0.719235976,0.525179065,0.595020809,1,0.062120916,1
0,0.146815174,0.598178116,0.03732189,0.678522599,0.505492088,0.416293901,0.696638262,0.038153003,1,0,0.146815174,0.494346885,0.025788956,0.678522599,0.505492088,0.416293901,0.696638262,0.038153003,1
0,0.068262195,0.555417276,0.039727653,0.642523758,0.487542197,0.305597473,0.394416502,0.020348268,1,0,0.068262195,0.434710578,0.027008292,0.642523758,0.487542197,0.305597473,0.394416502,0.020348268,1
0,0.035674715,0.542146464,0.041111193,0.626359638,0.480593852,0.250026947,0.237811207,0.012913324,1,0,0.035674715,0.416452027,0.028227628,0.626359638,0.480593852,0.250026947,0.237811207,0.012913324,1
0,0.024457761,0.54106108,0.052712713,0.624339123,0.469592306,0.224026168,0.176713942,0.013842692,1,0,0.024457761,0.415619057,0.036275246,0.624339123,0.469592306,0.224026168,0.176713942,0.013842692,1
0,0.036017741,0.55155538,0.059400202,0.633768193,0.46322299,0.226722357,0.156212738,0.023307572,1,0,0.036017741,0.421248717,0.040664855,0.633768193,0.46322299,0.226722357,0.156212738,0.023307572,1
0,0.093646127,0.55477175,0.068808898,0.651279323,0.464960076,0.271508129,0.156453604,0.046223831,1,0,0.093646127,0.423821545,0.047310236,0.651279323,0.464960076,0.271508129,0.156453604,0.046223831,1
0,0.17803055,0.559588425,0.052534603,0.670810967,0.470750363,0.358828109,0.17271207,0.098317355,1,0,0.17803055,0.423812306,0.035909445,0.670810967,0.470750363,0.358828109,0.17271207,0.098317355,1
0,0.274763912,0.570812319,0.060455838,0.683526742,0.484647053,0.440363484,0.192091684,0.202015261,1,0,0.274763912,0.4256474,0.040360021,0.683526742,0.484647053,0.440363484,0.192091684,0.202015261,1
0,0.360016191,0.587087079,0.06027263,0.685971565,0.493332484,0.48510135,0.212588291,0.361538838,1,0,0.360016191,0.443860465,0.039445519,0.685971565,0.493332484,0.48510135,0.212588291,0.361538838,1
0,0.455370588,0.580564265,0.044004281,0.68201809,0.512440432,0.486409773,0.236039645,0.470257777,1,0,0.455370588,0.455165272,0.029020196,0.68201809,0.512440432,0.486409773,0.236039645,0.470257777,1
0,0.558295572,0.53085051,0.034095234,0.680172687,0.532127409,0.477309201,0.247770379,0.52028468,1,0,0.558295572,0.433754652,0.022740616,0.680172687,0.532127409,0.477309201,0.247770379,0.52028468,1
0,0.622842795,0.456202191,0.025682992,0.683142844,0.558762731,0.470666786,0.241602551,0.479610155,1,0,0.622842795,0.377192234,0.01676587,0.683142844,0.558762731,0.470666786,0.241602551,0.479610155,1
0,0.65129681,0.381165054,0.01984981,0.69139328,0.580175214,0.471542561,0.222438981,0.432833594,1,0,0.65129681,0.297709614,0.011949493,0.69139328,0.580175214,0.471542561,0.222438981,0.432833594,1
0,0.619580616,0.317162658,0.017924293,0.702815924,0.598206169,0.47704572,0.212975331,0.398818724,1,0,0.619580616,0.218311571,0.009084053,0.702815924,0.598206169,0.47704572,0.212975331,0.398818724,1
0,0.582369144,0.273013187,0.016310257,0.719397617,0.61133275,0.486480134,0.2161498,0.416775093,1,0,0.582369144,0.146711613,0.006950215,0.719397617,0.61133275,0.486480134,0.2161498,0.416775093,1
