,date,hour,moer (lbs CO2/MWh),version
872,2019-02-06,8,0,3
873,2019-02-06,9,0,3
874,2019-02-06,10,0,3
875,2019-02-06,11,0,3
876,2019-02-06,12,0,3
877,2019-02-06,13,0,3
878,2019-02-06,14,0,3
879,2019-02-06,15,0,3
880,2019-02-06,16,0,3
881,2019-02-06,17,0,3
882,2019-02-06,18,0,3
883,2019-02-06,19,0,3
884,2019-02-06,20,0,3
885,2019-02-06,21,0,3
886,2019-02-06,22,0,3
887,2019-02-06,23,0,3
888,2019-02-07,0,0,3
889,2019-02-07,1,0,3
890,2019-02-07,2,0,3
891,2019-02-07,3,0,3
892,2019-02-07,4,0,3
893,2019-02-07,5,0,3
894,2019-02-07,6,0,3
895,2019-02-07,7,0,3
896,2019-02-07,8,0,3
897,2019-02-07,9,0,3
898,2019-02-07,10,0,3
899,2019-02-07,11,0,3
900,2019-02-07,12,0,3
901,2019-02-07,13,0,3
902,2019-02-07,14,0,3
903,2019-02-07,15,0,3
904,2019-02-07,16,0,3
905,2019-02-07,17,0,3
906,2019-02-07,18,0,3
907,2019-02-07,19,0,3
908,2019-02-07,20,0,3
909,2019-02-07,21,0,3
910,2019-02-07,22,0,3
911,2019-02-07,23,0,3
912,2019-02-08,0,0,3
913,2019-02-08,1,0,3
914,2019-02-08,2,0,3
915,2019-02-08,3,0,3
916,2019-02-08,4,0,3
917,2019-02-08,5,0,3
918,2019-02-08,6,0,3
919,2019-02-08,7,0,3
920,2019-02-08,8,0,3
921,2019-02-08,9,0,3
922,2019-02-08,10,0,3
923,2019-02-08,11,0,3
924,2019-02-08,12,0,3
