DEMAND,SOLAR,WIND,COAL,COAL_CRYO,COAL_AMINE,NUCLEAR
25270,0,7223.21,57747,57747,57747,115494
26349,0,7083.38,57747,57747,57747,115494
28679,1150.67,6855.48,57747,57747,57747,115494
31624,4607.15,6128.81,57747,57747,57747,115494
33182,5853.1,4977.25,57747,57747,57747,115494
32877,6550.96,4613.76,57747,57747,57747,115494
32621,6424.87,4849.98,57747,57747,57747,115494
32242,6090.16,5174.65,57747,57747,57747,115494
31657,6166.86,5279.94,57747,57747,57747,115494
31522,5097.67,5115.69,57747,57747,57747,115494
31466,3241,5132.51,57747,57747,57747,115494
31499,676.77,5468.99,57747,57747,57747,115494
32087,4.83,5180.19,57747,57747,57747,115494
33468,0,4979.73,57747,57747,57747,115494
35868,0,5171.2,57747,57747,57747,115494
36217,0,5426.73,57747,57747,57747,115494
35589,0,5824.15,57747,57747,57747,115494
34523,0,6586.29,57747,57747,57747,115494
32650,0,7819.73,57747,57747,57747,115494
30188,0,9076.29,57747,57747,57747,115494
27773,0,10342.21,57747,57747,57747,115494
26264,0,11880.46,57747,57747,57747,115494
25273,0,13890.21,57747,57747,57747,115494
24739,0,15550.68,57747,57747,57747,115494
24881,0,16727.89,57747,57747,57747,115494
25721,0,18169.34,57747,57747,57747,115494
28036,1433.54,19713.87,57747,57747,57747,115494
31080,5839.49,20442.04,57747,57747,57747,115494
32379,8001.11,20693.25,57747,57747,57747,115494
32468,9127.93,23418.6,57747,57747,57747,115494
32282,9834.79,27023.2,57747,57747,57747,115494
31845,9852.83,29255.83,57747,57747,57747,115494
31526,9355.37,31702.9,57747,57747,57747,115494
31442,8277.43,33969.95,57747,57747,57747,115494
30934,6061.35,34932.41,57747,57747,57747,115494
30663,1592.26,34497.2,57747,57747,57747,115494
30762,7.39,34696.66,57747,57747,57747,115494
31999,0,34612.87,57747,57747,57747,115494
34519,0,34389.28,57747,57747,57747,115494
34784,0,34516.11,57747,57747,57747,115494
33961,0,34250.13,57747,57747,57747,115494
33009,0,33515.01,57747,57747,57747,115494
31544,0,33290.72,57747,57747,57747,115494
29466,0,31804.28,57747,57747,57747,115494
27322,0,30484.67,57747,57747,57747,115494
25629,0,29575.26,57747,57747,57747,115494
24653,0,29442.47,57747,57747,57747,115494
23991,0,29154.16,57747,57747,57747,115494
23625,0,28402.56,57747,57747,57747,115494
23835,0,27705.58,57747,57747,57747,115494
24842,1573.72,27268.8,57747,57747,57747,115494
26071,6129.67,25658.44,57747,57747,57747,115494
26986,8406.25,25255.92,57747,57747,57747,115494
27932,9464.08,25653.76,57747,57747,57747,115494
28359,9764.15,25953.66,57747,57747,57747,115494
28167,9611.4,25465.39,57747,57747,57747,115494
27731,8945.86,25292.58,57747,57747,57747,115494
27535,8183.8,24898.75,57747,57747,57747,115494
27413,6006.25,23837.79,57747,57747,57747,115494
27339,1749.28,22304.8,57747,57747,57747,115494
27774,7.06,21004.65,57747,57747,57747,115494
29114,0,19108.2,57747,57747,57747,115494
31581,0,17406.69,57747,57747,57747,115494
32015,0,15736.92,57747,57747,57747,115494
