,diesel_genset_replacement_storage_4hr_CHARGE,diesel_genset_replacement_storage_4hr_DISCHARGE,diesel_genset_replacement_storage_4hr_STATE_OF_CHARGE
339,-0.0,0.0,0.0
340,-0.0,0.0,0.0
341,-0.0,0.0,0.0
342,-0.0,0.0,0.0
343,-0.0,0.0,0.0
344,-0.0,0.0,0.0
345,-0.0,0.0,0.0
346,-0.0,0.0,0.0
347,-0.0,0.0,0.0
348,-0.0,0.0,0.0
349,-0.0,0.0,0.0
350,-0.0,0.0,0.0
351,-0.0,0.0,0.0
352,-0.0,0.0,0.0
353,-0.0,0.0,0.0
354,-0.0,0.0,0.0
355,-0.0,0.0,0.0
356,-0.0,0.0,0.0
357,-0.0,0.0,0.0
358,-0.0,0.0,0.0
359,-0.0,0.0,0.0
360,-0.0,0.0,0.0
361,-0.0,0.0,0.0
362,-0.0,0.0,0.0
363,-0.0,0.0,0.0
364,-0.0,0.0,0.0
365,-0.0,0.0,0.0
366,-0.0,0.0,0.0
367,-0.0,0.0,0.0
368,-0.0,0.0,0.0
369,-0.0,0.0,0.0
370,-0.0,0.0,0.0
371,-0.0,0.0,0.0
372,-0.0,0.0,0.0
373,-0.0,0.0,0.0
374,-0.0,0.0,0.0
375,-0.0,0.0,0.0
376,-0.0,0.0,0.0
377,-0.0,0.0,0.0
378,-0.0,0.0,0.0
379,-0.0,0.0,0.0
380,-0.0,0.0,0.0
381,-0.0,0.0,0.0
382,-0.0,0.0,0.0
383,-0.0,0.0,0.0
384,-0.0,0.0,0.0
385,-0.0,0.0,0.0
386,-0.0,0.0,0.0
387,-0.0,0.0,0.0
388,-0.0,0.0,0.0
389,-0.0,0.0,0.0
390,-0.0,0.0,0.0
391,-0.0,0.0,0.0
392,-0.0,0.0,0.0
393,-0.0,0.0,0.0
394,-0.0,0.0,0.0
395,-0.0,0.0,0.0
396,-0.0,0.0,0.0
397,-0.0,0.0,0.0
398,-0.0,0.0,0.0
399,-0.0,0.0,0.0
400,-0.0,0.0,0.0
401,-0.0,0.0,0.0
402,-0.0,0.0,0.0
403,-0.0,0.0,0.0
404,-0.0,0.0,0.0
405,-0.0,0.0,0.0
406,-0.0,0.0,0.0
407,-0.0,0.0,0.0
408,-0.0,0.0,0.0
409,-0.0,0.0,0.0
410,-0.0,0.0,0.0
411,-0.0,0.0,0.0
412,-0.0,0.0,0.0
413,-0.0,0.0,0.0
414,-0.0,0.0,0.0
415,-0.0,0.0,0.0
416,-0.0,0.0,0.0
417,-0.0,0.0,0.0
418,-0.0,0.0,0.0
419,-138.58426691178065,0.0,138.58426691178067
420,-0.0,0.0,138.58426691178067
421,-0.0,0.0,138.58426691178067
422,-0.0,0.0,138.58426691178067
423,-0.0,0.0,138.58426691178067
424,-0.0,0.0,138.58426691178065
425,-0.0,36.96895586434087,95.09137765961493
426,-0.0,27.969720191207223,62.18582449348878
427,-0.0,0.0,62.18582449348879
428,-0.0,0.0,62.18582449348879
429,-0.0,0.0,62.18582449348879
430,-0.0,0.0,62.18582449348879
431,-0.0,0.0,62.18582449348879
432,-0.0,0.0,62.18582449348879
433,-0.0,0.0,62.18582449348879
434,-0.0,0.0,62.18582449348879
435,-0.0,0.0,62.18582449348879
436,-0.0,0.0,62.18582449348879
437,-0.0,0.0,62.18582449348879
438,-0.0,0.0,62.18582449348879
439,-0.0,0.0,62.18582449348879
440,-0.0,0.0,62.18582449348879
441,-0.0,0.0,62.18582449348879
442,-0.0,0.0,62.18582449348879
443,-0.0,0.0,62.18582449348879
444,-0.0,0.0,62.18582449348879
445,-0.0,0.0,62.18582449348879
446,-0.0,0.0,62.18582449348879
447,-0.0,0.0,62.18582449348879
448,-0.0,0.0,62.18582449348879
449,-0.0,0.0,62.18582449348879
450,-0.0,0.0,62.18582449348879
451,-0.0,0.0,62.18582449348879
452,-0.0,0.0,62.18582449348879
453,-0.0,0.0,62.18582449348879
454,-0.0,0.0,62.18582449348879
455,-0.0,0.0,62.18582449348879
456,-0.0,0.0,62.18582449348879
457,-0.0,0.0,62.18582449348879
458,-0.0,0.0,62.18582449348879
459,-0.0,0.0,62.18582449348879
460,-0.0,0.0,62.18582449348879
461,-0.0,0.0,62.18582449348879
462,-171.73978208594397,0.0,233.92560657943278
463,-0.0,0.0,233.92560657943278
464,-0.0,0.0,233.92560657943278
465,-0.0,0.0,233.92560657943278
466,-0.0,0.0,233.92560657943278
467,-0.0,0.0,233.92560657943278
468,-0.0,0.0,233.92560657943278
469,-0.0,0.0,233.92560657943278
470,-0.0,0.0,233.92560657943278
471,-0.0,0.0,233.92560657943278
472,-0.0,0.0,233.92560657943278
473,-0.0,0.0,233.92560657943278
474,-0.0,0.0,233.92560657943278
475,-0.0,0.0,233.92560657943278
476,-0.0,0.0,233.92560657943278
477,-0.0,0.0,233.92560657943278
478,-0.0,0.0,233.92560657943278
479,-0.0,0.0,233.92560657943278
480,-0.0,0.0,233.92560657943278
481,-0.0,0.0,233.92560657943278
482,-0.0,0.0,233.92560657943278
483,-0.0,0.0,233.92560657943278
484,-0.0,0.0,233.92560657943278
485,-0.0,0.0,233.92560657943278
486,-0.0,0.0,233.92560657943278
487,-0.0,0.0,233.92560657943278
488,-0.0,0.0,233.92560657943278
489,-0.0,0.0,233.92560657943278
490,-0.0,0.0,233.92560657943278
491,-0.0,0.0,233.92560657943278
492,-0.0,0.0,233.92560657943278
493,-0.0,0.0,233.92560657943278
494,-0.0,0.0,233.92560657943287
495,-0.0,43.96836426983157,182.19811920316042
496,-0.0,40.96925967435653,133.99899017450568
497,-0.0,37.96937157998548,89.32914125687567
498,-0.0,37.967451066314204,44.66155176709425
499,-0.0,37.962319002030114,0.0
500,-44.65934034372911,37.960439292169745,0.0
501,-171.73978208594397,37.9589118564458,127.08223872541956
502,-6.896664437349036,37.95908023885251,89.32116170529504
503,-0.0,37.96067406032887,44.661545163731645
504,-0.0,37.96231338917188,0.0
505,-171.73978208594397,37.96540809674213,127.0745960897768
506,-138.48207062804866,17.968958537667675,244.41671549703997
507,-0.0,0.0,244.41671549704006
508,-0.0,0.0,244.41671549704006
509,-0.0,0.0,244.41671549704006
510,-0.0,0.0,244.41671549704006
511,-0.0,0.0,244.41671549704006
512,-0.0,0.0,244.41671549704006
513,-0.0,0.0,244.41671549704006
514,-171.73978208594397,0.0,416.15649758298406
515,-171.73978208594397,0.0,587.8962796689281
516,-0.0,0.0,587.8962796689281
517,-0.0,0.0,587.8962796689281
518,-0.0,0.0,587.8962796689281
519,-0.0,0.0,587.896279668928
520,-0.0,0.9725704822406831,586.752079101586
521,-0.0,43.972848322532855,535.0193163691941
522,-0.0,38.97281873293447,489.16894138927137
523,-0.0,38.973187328805366,443.3181327671473
524,-0.0,39.973455467690506,396.2905380992761
525,-0.0,40.97380608676144,348.086060350145
526,-0.0,40.973647273007664,299.88176944072427
527,-0.0,40.97359854082261,251.67753586328595
528,-0.0,40.97351463285314,203.47340100110588
529,-171.739782085944,26.973576077887465,343.4795641718881
530,-0.0,0.0,343.47956417188806
531,-0.0,0.0,343.47956417188806
532,-0.0,0.0,343.47956417188806
533,-0.0,0.0,343.47956417188806
534,-0.0,0.0,343.47956417188806
535,-0.0,0.0,343.47956417188806
536,-0.0,0.0,343.47956417188806
537,-0.0,0.0,343.47956417188806
538,-171.73978208594397,0.0,515.2193462578321
539,-171.73978208594397,0.0,686.9591283437761
540,-0.0,0.0,686.9591283437762
541,-0.0,0.0,686.9591283437762
542,-23.479736794684303,29.97919818729371,675.1692202122325
543,-0.0,77.97896152198159,583.4292654804894
544,-171.739782085944,96.97867618074011,641.076487353798
545,-171.739782085944,106.97856993157106,686.9591283437761
546,-0.0,105.9786669463558,562.2783437010047
547,-0.0,105.9791847371757,437.5969498925627
548,-0.0,105.97942243804184,312.915276436043
549,-171.73978208594394,105.97952733844782,359.9732616532249
550,-171.73978208594392,105.97967202476514,407.03107665120984
551,-0.0,105.97972836283894,282.349043283164
552,-0.0,129.97963669310954,129.4318236442116
553,-171.739782085944,145.97881477305236,129.43182364421162
554,-171.73978208594397,145.9788147730524,129.43182364421162
555,-171.73978208594397,145.97881477305242,129.43182364421162
556,-171.73978208594397,145.97881477305242,129.43182364421153
557,-171.73978208594397,145.97881477305248,129.43182364421145
558,-171.73978208594392,145.97881477305242,129.43182364421128
559,-171.73978208594403,145.97881477305245,129.43182364421125
560,-171.73978208594403,81.97864174947362,204.72614484842163
561,-171.73978208594397,64.97859445507991,300.0205216930952
562,-0.0,64.97863421703798,223.57506967305045
563,-0.0,64.97875212781143,147.12947893444885
564,-171.73978208594394,64.97884557285819,242.42356034644195
565,-0.0,103.9788279012285,120.09552752146725
566,-171.73978208594397,108.97875890857247,163.62500500909067
567,-52.7685381591001,104.97870378400786,92.88918577524034
568,-171.739782085944,93.9786145029022,154.06589197541703
569,-171.739782085944,104.9783928382091,202.30168248699735
570,-171.73978208594397,106.97847530395006,248.18443480358823
571,-0.0,105.97833788727291,123.50403728914951
572,-0.0,104.97843169577706,0.0
573,-171.739782085944,104.97855007795356,48.23560552364573
574,-122.30209322962429,104.9787067072079,47.03333792126075
575,-171.739782085944,105.9785531856137,94.09246920060042
576,-0.0,79.97859882051034,0.0
577,-171.73978208594394,0.0,171.73978208594403
578,-0.0,0.0,171.73978208594403
579,-0.0,0.0,171.73978208594403
