"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
LDWP,"7/12/2019 2 a.m. PDT",2685,2427,2216,-469
LDWP,"7/12/2019 3 a.m. PDT",2547,2276,2017,-530
LDWP,"7/12/2019 4 a.m. PDT",2472,2200,1901,-572
LDWP,"7/12/2019 5 a.m. PDT",2467,2223,1855,-612
LDWP,"7/12/2019 6 a.m. PDT",2557,2281,2010,-547
LDWP,"7/12/2019 7 a.m. PDT",2738,2447,2177,-561
LDWP,"7/12/2019 8 a.m. PDT",2972,2715,2408,-564
LDWP,"7/12/2019 9 a.m. PDT",3237,2989,2660,-577
LDWP,"7/12/2019 10 a.m. PDT",3493,3303,2857,-636
LDWP,"7/12/2019 11 a.m. PDT",3748,3619,3112,-636
LDWP,"7/12/2019 12 p.m. PDT",4004,3894,3355,-649
LDWP,"7/12/2019 1 p.m. PDT",4282,4158,3586,-697
LDWP,"7/12/2019 2 p.m. PDT",4508,4413,3938,-570
LDWP,"7/12/2019 3 p.m. PDT",4720,4611,4122,-598
LDWP,"7/12/2019 4 p.m. PDT",4916,4735,4517,-399
LDWP,"7/12/2019 5 p.m. PDT",5003,4850,4552,-450
LDWP,"7/12/2019 6 p.m. PDT",4977,4762,4488,-489
LDWP,"7/12/2019 7 p.m. PDT",4740,4559,4296,-444
LDWP,"7/12/2019 8 p.m. PDT",4467,4352,3859,-608
LDWP,"7/12/2019 9 p.m. PDT",4238,4134,3572,-665
LDWP,"7/12/2019 10 p.m. PDT",4052,3805,3481,-570
LDWP,"7/12/2019 11 p.m. PDT",3637,3403,3036,-601
LDWP,"7/13/2019 12 a.m. PDT",3335,2993,2731,-603
LDWP,"7/13/2019 1 a.m. PDT",3034,2778,2498,-536
LDWP,"7/13/2019 2 a.m. PDT",2826,2635,2287,-538
LDWP,"7/13/2019 3 a.m. PDT",2668,2404,2074,-594
LDWP,"7/13/2019 4 a.m. PDT",2545,2265,1965,-580
LDWP,"7/13/2019 5 a.m. PDT",2495,2215,1932,-563
LDWP,"7/13/2019 6 a.m. PDT",2499,2200,1990,-509
LDWP,"7/13/2019 7 a.m. PDT",2537,2263,1979,-558
LDWP,"7/13/2019 8 a.m. PDT",2709,2475,2195,-514
LDWP,"7/13/2019 9 a.m. PDT",3173,2780,2511,-662
LDWP,"7/13/2019 10 a.m. PDT",3363,3088,2717,-646
LDWP,"7/13/2019 11 a.m. PDT",3444,3392,2918,-526
LDWP,"7/13/2019 12 p.m. PDT",3674,3694,3108,-566
LDWP,"7/13/2019 1 p.m. PDT",3935,3970,3379,-556
LDWP,"7/13/2019 2 p.m. PDT",4128,4196,3707,-421
LDWP,"7/13/2019 3 p.m. PDT",4326,4383,3785,-541
LDWP,"7/13/2019 4 p.m. PDT",4489,4600,3920,-569
LDWP,"7/13/2019 5 p.m. PDT",4582,4589,4160,-422
LDWP,"7/13/2019 6 p.m. PDT",4590,4555,4205,-386
LDWP,"7/13/2019 7 p.m. PDT",4543,4453,4127,-417
LDWP,"7/13/2019 8 p.m. PDT",4326,4260,4081,-244
LDWP,"7/13/2019 9 p.m. PDT",4110,4073,3852,-258
LDWP,"7/13/2019 10 p.m. PDT",3919,3834,3784,-135
LDWP,"7/13/2019 11 p.m. PDT",3538,3489,3215,-323
LDWP,"7/14/2019 12 a.m. PDT",3242,3134,2644,-598
LDWP,"7/14/2019 1 a.m. PDT",2982,2762,2383,-599
LDWP,"7/14/2019 2 a.m. PDT",2777,2664,2204,-573
LDWP,"7/14/2019 3 a.m. PDT",2634,2467,2030,-605
LDWP,"7/14/2019 4 a.m. PDT",2530,2328,1949,-581
LDWP,"7/14/2019 5 a.m. PDT",2477,2270,1887,-590
LDWP,"7/14/2019 6 a.m. PDT",2467,2200,1948,-519
LDWP,"7/14/2019 7 a.m. PDT",2436,2235,1990,-446
LDWP,"7/14/2019 8 a.m. PDT",2732,2383,2293,-439
LDWP,"7/14/2019 9 a.m. PDT",2937,2640,2583,-354
LDWP,"7/14/2019 10 a.m. PDT",3173,2932,2786,-387
LDWP,"7/14/2019 11 a.m. PDT",3450,3224,2949,-501
LDWP,"7/14/2019 12 p.m. PDT",3542,3514,3055,-487
LDWP,"7/14/2019 1 p.m. PDT",3778,3789,3326,-453
LDWP,"7/14/2019 2 p.m. PDT",4006,4042,3566,-439
LDWP,"7/14/2019 3 p.m. PDT",4222,4286,3819,-403
LDWP,"7/14/2019 4 p.m. PDT",4370,4451,3975,-395
LDWP,"7/14/2019 5 p.m. PDT",4464,4550,4139,-325
LDWP,"7/14/2019 6 p.m. PDT",4494,4540,4027,-467
LDWP,"7/14/2019 7 p.m. PDT",4424,4443,4198,-226
LDWP,"7/14/2019 8 p.m. PDT",4296,4233,4191,-104
LDWP,"7/14/2019 9 p.m. PDT",4140,4069,4114,-27
LDWP,"7/14/2019 10 p.m. PDT",3906,3881,3858,-48
LDWP,"7/14/2019 11 p.m. PDT",3546,3559,3144,-402
LDWP,"7/15/2019 12 a.m. PDT",3205,3199,2703,-502
LDWP,"7/15/2019 1 a.m. PDT",2943,2541,2412,-531
LDWP,"7/15/2019 2 a.m. PDT",2752,2450,2179,-573
LDWP,"7/15/2019 3 a.m. PDT",2622,2286,2003,-619
LDWP,"7/15/2019 4 a.m. PDT",2547,2200,1982,-564
LDWP,"7/15/2019 5 a.m. PDT",2569,2265,2027,-543
LDWP,"7/15/2019 6 a.m. PDT",2697,2400,2198,-499
LDWP,"7/15/2019 7 a.m. PDT",2916,2585,2313,-603
LDWP,"7/15/2019 8 a.m. PDT",3141,2869,2628,-513
LDWP,"7/15/2019 9 a.m. PDT",3370,3217,2822,-548
LDWP,"7/15/2019 10 a.m. PDT",3639,3557,3109,-530
LDWP,"7/15/2019 11 a.m. PDT",3933,3858,3353,-580
LDWP,"7/15/2019 12 p.m. PDT",4223,4114,3688,-535
LDWP,"7/15/2019 1 p.m. PDT",4475,4342,3996,-479
LDWP,"7/15/2019 2 p.m. PDT",4696,4577,4229,-466
LDWP,"7/15/2019 3 p.m. PDT",4831,4789,4351,-481
LDWP,"7/15/2019 4 p.m. PDT",4927,5000,4458,-469
LDWP,"7/15/2019 5 p.m. PDT",4990,4992,4590,-400
LDWP,"7/15/2019 6 p.m. PDT",5011,4890,4720,-291
LDWP,"7/15/2019 7 p.m. PDT",4869,4658,4553,-317
LDWP,"7/15/2019 8 p.m. PDT",4594,4371,4234,-360
LDWP,"7/15/2019 9 p.m. PDT",4430,4151,4093,-337
LDWP,"7/15/2019 10 p.m. PDT",4180,3902,3660,-520
LDWP,"7/15/2019 11 p.m. PDT",3712,3528,3051,-661
LDWP,"7/16/2019 12 a.m. PDT",3347,3144,2726,-622
LDWP,"7/16/2019 1 a.m. PDT",3068,2629,2551,-517
LDWP,"7/16/2019 2 a.m. PDT",2855,2541,2317,-538
LDWP,"7/16/2019 3 a.m. PDT",2705,2383,2174,-530
LDWP,"7/16/2019 4 a.m. PDT",2621,2306,2144,-477
LDWP,"7/16/2019 5 a.m. PDT",2617,2363,2143,-473
LDWP,"7/16/2019 6 a.m. PDT",2720,2493,2166,-554
LDWP,"7/16/2019 7 a.m. PDT",2922,2671,2277,-645
LDWP,"7/16/2019 8 a.m. PDT",3196,2945,2675,-521
LDWP,"7/16/2019 9 a.m. PDT",3463,3281,2875,-588
LDWP,"7/16/2019 10 a.m. PDT",3693,3608,3105,-588
LDWP,"7/16/2019 11 a.m. PDT",3938,3899,3331,-606
LDWP,"7/16/2019 12 p.m. PDT",4196,4145,3537,-659
LDWP,"7/16/2019 1 p.m. PDT",4405,4366,3741,-664
LDWP,"7/16/2019 2 p.m. PDT",4627,4592,4044,-583
LDWP,"7/16/2019 3 p.m. PDT",4807,4797,4328,-480
LDWP,"7/16/2019 4 p.m. PDT",4973,5000,4481,-492
LDWP,"7/16/2019 5 p.m. PDT",5029,4992,4440,-589
LDWP,"7/16/2019 6 p.m. PDT",5048,4894,4468,-580
LDWP,"7/16/2019 7 p.m. PDT",4893,4670,4581,-311
LDWP,"7/16/2019 8 p.m. PDT",4624,4394,4432,-191
LDWP,"7/16/2019 9 p.m. PDT",4431,4181,4192,-239
LDWP,"7/16/2019 10 p.m. PDT",4176,3941,3685,-491
LDWP,"7/16/2019 11 p.m. PDT",3714,3581,3101,-613
LDWP,"7/17/2019 12 a.m. PDT",3372,3210,2865,-507
LDWP,"7/17/2019 1 a.m. PDT",3093,2515,2576,-517
LDWP,"7/17/2019 2 a.m. PDT",2890,2456,2273,-617
LDWP,"7/17/2019 3 a.m. PDT",2745,2339,2123,-622
LDWP,"7/17/2019 4 a.m. PDT",2667,2250,2100,-567
LDWP,"7/17/2019 5 a.m. PDT",2674,2281,2052,-622
